"","StudyID"
"1","IGE0017"
"2","IGE0057"
"3","IGE0144"
"4","IGE0195"
"5","IGE0196"
"6","IGE0197"
"7","IGE0199"
"8","IGE0202"
"9","IGE0203"
"10","IGE0242"
"11","IGE0243"
"12","IGE0253"
"13","IGE0291"
"14","IGE0292"
"15","IGE0293"
"16","IGE0294"
"17","IGE0347"
"18","IGE0348"
"19","IGE0380"
"20","IGE0385"
"21","IGE0386"
"22","IGE0389"
"23","IGE0391"
"24","IGE0401"
"25","IGE0406"
"26","IGE0418"
"27","IGE0455"
"28","IGE0458"
"29","IGE0468"
"30","IGE0483"
"31","IGE0485"
"32","IGE0493"
"33","IGE0494"
"34","IGE0501"
"35","IGE0502"
"36","IGE0505"
"37","IGE0506"
"38","IGE0507"
"39","IGE0509"
"40","IGE0515"
"41","IGE0516"
"42","IGE0517"
"43","IGE0521"
"44","IGE0537"
"45","IGE0572"
"46","IGE0598"
"47","IGE0640"
"48","IGE0654"
"49","IGE0657"
"50","IGE0746"
"51","IGE0752"
"52","IGE0786"
"53","IGE0824"
"54","IGE0846"
"55","IGE0852"
"56","IGE0857"
"57","IGE0858"
"58","IGE0889"
"59","IGE0920"
"60","IGE0927"
"61","IGE1023"
"62","IGE1038"
"63","IGE1050"
